day_start,past_weeks,window_hours,target_efc_day,target_efc_long,lambda_before_calib,lambda_after_calib,dp_efc_long,efc_used_real_day
2020-12-27,1.0,192.0,0.156078860898138,1.248630887185104,106.3626708984375,94.46957927942276,1.034129940904677,0.1999999999999999
2020-12-28,1.0,192.0,0.15606027397260275,1.248482191780822,,111.02943228787626,1.2109451998985605,0.39654973870398297
2020-12-29,1.0,192.0,0.1559392970110917,1.2475143760887335,,101.37941327066827,0.827258630124561,0.004676258440112768
2020-12-30,1.0,192.0,0.1560224000563429,1.2481792004507433,,78.90565661789317,0.8398635150912891,0.0
2020-12-31,1.0,192.0,0.15610803254814112,1.248864260385129,,78.98271292318407,0.8398635150912891,0.0
2021-01-01,1.0,192.0,0.15619375908990285,1.2495500727192228,,60.66396847078541,0.8539018488585433,0.0
2021-01-02,1.0,192.0,0.15627957983665555,1.2502366386932444,,48.72667389377052,1.1808048213928422,0.0
2021-01-03,1.0,192.0,0.15636549494376753,1.2509239595501402,,48.70288157253332,1.1808048213928422,0.0
2021-01-04,1.0,192.0,0.1564515045669489,1.2516120365355912,,58.52431228027564,1.1511710295453668,0.7982995791444651
2021-01-05,1.0,192.0,0.15612022603331088,1.248961808266487,,52.32324989510971,0.8192242970690131,0.0
2021-01-06,1.0,192.0,0.15620619532077415,1.2496495625661932,,51.14802064941877,0.8192242970690131,0.0
2021-01-07,1.0,192.0,0.15629225934023463,1.250338074721877,,51.19796988833422,1.13760010804981,0.7968567824523938
2021-01-08,1.0,192.0,0.1559611007492812,1.2476888059942497,,67.89730772300574,1.153269082758925,0.7962988186795994
2021-01-09,1.0,192.0,0.1556298692120521,1.2450389536964168,,67.86415474071913,1.1572690824832534,0.00344098382513236
2021-01-10,1.0,192.0,0.15571395361303342,1.2457116289042673,,67.9304283293331,1.153269082758925,0.0
2021-01-11,1.0,192.0,0.15579993591762373,1.2463994873409898,,67.89725917487542,1.153269082758925,0.0
2021-01-12,1.0,192.0,0.1558860132302854,1.2470881058422831,,72.63813225202738,1.150402639512322,0.0
2021-01-13,1.0,192.0,0.15597218570857743,1.2477774856686195,,72.70906792805475,1.148551814709208,0.0
2021-01-14,1.0,192.0,0.1560584535104074,1.2484676280832592,,102.28262924840124,0.8192242970690131,0.0
2021-01-15,1.0,192.0,0.15614481679403241,1.2491585343522593,,101.78320234777426,0.8192242970690131,0.0
2021-01-16,1.0,192.0,0.15623127571806011,1.249850205744481,,66.39763590655588,1.1529594482854009,0.0
2021-01-17,1.0,192.0,0.15631783044144962,1.250542643531597,,66.36521518589838,1.1529594482854009,0.0
2021-01-18,1.0,192.0,0.15640448112351252,1.2512358489881001,,66.3328102956709,1.1529594482854009,0.0
2021-01-19,1.0,192.0,0.1564912279239138,1.2519298233913103,,66.39758843072528,1.1529594482854009,0.0
2021-01-20,1.0,192.0,0.1565780710026729,1.2526245680213832,,66.36516773324934,1.1529594482854009,0.0
2021-01-21,1.0,192.0,0.15666501052016468,1.2533200841613175,,67.69376728259661,1.1529600517824292,0.0
2021-01-22,1.0,192.0,0.15675204663712033,1.2540163730969627,,82.63399326488843,0.8200880810618401,0.796549738703983
2021-01-23,1.0,192.0,0.15641854457756965,1.2513483566205572,,52.93740193531915,1.1427551861852407,0.004760102870765781
2021-01-24,1.0,192.0,0.15650302536002259,1.2520242028801807,,52.91155359453042,1.1386529321825947,0.0
2021-01-25,1.0,192.0,0.15659011663735148,1.2527209330988118,,52.96322503358758,1.1397456461563706,0.7985597406954552
2021-01-26,1.0,192.0,0.1562549041445768,1.2500392331566144,,52.93736408386415,1.1397456461563706,0.0
2021-01-27,1.0,192.0,0.15634195423045122,1.2507356338436098,,52.91151576155758,1.1397456461563706,0.0
2021-01-28,1.0,192.0,0.15642910136212929,1.2514328108970343,,52.96318716366847,1.1397456461563706,0.0
2021-01-29,1.0,192.0,0.15651634570198544,1.2521307656158835,,47.66169626105517,1.1400129133835435,0.0
2021-01-30,1.0,192.0,0.15660368741275663,1.252829499302053,,46.52135294230922,1.1385872685204959,0.0
2021-01-31,1.0,192.0,0.1566911266575432,1.2535290132603456,,46.49863743794286,1.1334354453574633,0.0
2021-02-01,1.0,192.0,0.15677866359981002,1.2542293087984802,,56.35235259813193,0.8208014285191894,0.35149608650636033
2021-02-02,1.0,192.0,0.15667964592592448,1.2534371674073959,,47.079528952833854,1.1390845258138143,0.3471388857796063
2021-02-03,1.0,192.0,0.15658283256151465,1.2526626604921172,,47.056540901587354,1.1344074727967381,0.0
2021-02-04,1.0,192.0,0.15667045585897493,1.2533636468717995,,65.85158507028777,0.8168005021288991,0.0
2021-02-05,1.0,192.0,0.1567581772788288,1.2540654182306303,,65.91589325883298,0.8168005021288991,0.0
2021-02-06,1.0,192.0,0.1568459969859878,1.2547679758879025,,65.88370776407771,0.8168005021288991,0.0
2021-02-07,1.0,192.0,0.1569339151457333,1.2554713211658663,,65.36899129717087,0.8147739740888937,0.7955950158778906
2021-02-08,1.0,192.0,0.15659803104593617,1.2527842483674894,,65.62433891942544,1.139823856894509,0.7946010923026936
2021-02-09,1.0,192.0,0.15626229984131124,1.25009839873049,,64.63100175804743,1.1357225033061695,0.0
2021-02-10,1.0,192.0,0.15635003835890884,1.2508003068712708,,64.59944365172026,1.1339446532147122,0.7965775677215907
2021-02-11,1.0,192.0,0.15601273574600066,1.2481018859680053,,86.90013049828579,1.242576161314021,0.8848480523966762
2021-02-12,1.0,192.0,0.1556279167948872,1.2450233343590975,,86.98499390697553,1.242576161314021,0.004673289635123368
2021-02-13,1.0,192.0,0.15571294957983745,1.2457035966386996,,86.9425207654194,1.2378991082969448,0.0
2021-02-14,1.0,192.0,0.15580057645073211,1.246404611605857,,86.90006836270192,1.2378991082969448,0.0
2021-02-15,1.0,192.0,0.15588830200053544,1.2471064160042835,,86.98493171071237,1.244362010504119,0.0
2021-02-16,1.0,192.0,0.1559761263960287,1.2478090111682296,,86.94245859952551,1.2388364513171837,0.0
2021-02-17,1.0,192.0,0.15606404980436922,1.2485123984349538,,86.90000622716245,1.2398482625139877,0.0
2021-02-18,1.0,192.0,0.15615207239309134,1.2492165791447307,,57.32515059223461,1.031299164808023,0.0
2021-02-19,1.0,192.0,0.15624019433010777,1.2499215546408622,,51.58703737377361,0.8178595015779138,0.0
2021-02-20,1.0,192.0,0.1563284157837103,1.2506273262696823,,46.725563636889675,1.1364323645539116,0.0
2021-02-21,1.0,192.0,0.1564167369225712,1.2513338953805695,,57.31182414837249,0.8206679365976015,0.7985713973140083
2021-02-22,1.0,192.0,0.15607630385839605,1.2486104308671684,,57.283839859237546,0.8193811542732874,0.0
2021-02-23,1.0,192.0,0.15616458231080463,1.249316658486437,,46.179501761524016,1.1784283282271881,0.0
2021-02-24,1.0,192.0,0.15625296068223124,1.25002368545785,,63.00074605551665,1.1846259198286067,0.35210228230588747
2021-02-25,1.0,192.0,0.15615202964740205,1.2492162371792164,,74.13662011415778,1.1577087268451578,0.0036775153811738903
2021-02-26,1.0,192.0,0.1562385216530878,1.2499081732247024,,74.10042059261767,1.1526885251150816,0.0
2021-02-27,1.0,192.0,0.15632709224359406,1.2506167379487525,,74.17278428460266,1.1526885251150816,0.0
2021-02-28,1.0,192.0,0.1564157633112308,1.2513261064898464,,74.13656710477618,1.1526885251150816,0.0
2021-03-01,1.0,192.0,0.15650453502707148,1.2520362802165719,,57.0504051548473,1.1329560451267753,0.0
2021-03-02,1.0,192.0,0.15659340756257806,1.2527472605006245,,57.02254851170528,1.131948571484827,0.0
2021-03-03,1.0,192.0,0.15668238108960222,1.2534590487168178,,56.9947054704398,1.1328537908484577,0.0
2021-03-04,1.0,192.0,0.15677145578038656,1.2541716462430925,,50.621762329458,0.8193039096004213,0.0
2021-03-05,1.0,192.0,0.15686063180756538,1.254885054460523,,47.11185498044285,1.1386529321825947,0.0
2021-03-06,1.0,192.0,0.15694990934416617,1.2555992747533293,,47.15786265132219,1.1386529321825947,0.0
